ticker,spread,setup_type,setup_family,setup_score,setup_tier,Setup,RejectClass,Reason,failed_conditions,spot,exp_date,dte,long_strike,short_strike,width,spread_mid,natural_price,estimated_slippage,fill_quality_score,liquidity_quality,spread_mid_width_pct,bs_spread,edge,pop,reward_risk,risk_adjusted_score,short_bid_ask_pct,long_bid_ask_pct,short_vol,short_oi,long_vol,long_oi,Setup_distance_to_ema8_pct,Setup_distance_to_ema21_pct,Setup_distance_to_ema8_atr,Setup_distance_to_ema21_atr,Setup_rs_5d,Setup_rs_20d,Setup_volume_ratio,Setup_atr_percent,regime_bullish,regime_bearish,regime_note,tp_spread_px,sl_spread_px,signal_reason,entry_rule,exit_rule,reject_class,setup_ok,status,exp_str,T,r,long_symbol,short_symbol,long_bid,long_ask,long_last,long_mid,long_mid_note,long_good_quote,long_iv,long_sigma_used,short_bid,short_ask,short_last,short_mid,short_mid_note,short_good_quote,short_iv,short_sigma_used,hist_vol,sigma_avg,bs_long,bs_short,long_d1,long_d2,long_delta,long_gamma,long_vega,long_theta,short_d1,short_d2,short_delta,short_gamma,short_vega,short_theta,spread_delta,spread_gamma,spread_vega,spread_theta,breakeven,max_profit,max_loss,take_profit_frac,debit_stop_loss_frac,credit_stop_loss_mult,time_stop_days,ema21_invalidation,Setup_setup_type,Setup_setup_family,Setup_setup_score,Setup_setup_tier,Setup_setup_points,Setup_failed_conditions,Setup_open,Setup_high,Setup_low,Setup_close,Setup_prev_close,Setup_ema8,Setup_ema21,Setup_ema50,Setup_ema200,Setup_ema8_slope,Setup_ema21_slope,Setup_ema50_slope,Setup_atr14,Setup_range_position,Setup_extension_from_ema8_pct,Setup_rs_60d,Setup_benchmark_symbol,regime_symbols,regime_ema_span,regime_SPY_close,regime_SPY_ema50,regime_SPY_above_ema50,regime_QQQ_close,regime_QQQ_ema50,regime_QQQ_above_ema50
000660.KS,debit,pullback,bull_ema8_pullback,11,strong_setup,NO,REGIME_REJECT,market regime blocks bullish debit spread,ema21_above_ema50;low_near_ema8;low_near_ema21;recent_2_5_day_pullback;reclaimed_ema8;volume_above_20d_average,1856000.0,,-1,,,,,,,,,,,,,,,,,0,0,0,0,0.06440801850618162,0.0857326758120861,0.6021880623546093,1.0093150979436043,0.14823989840187513,0.3200739374835827,0.9218354733310076,0.05237838669950739,False,False,"SPY: close=758.98, ema50=758.27, above=true; QQQ: close=710.95, ema50=710.98, above=false",,,market regime blocks bullish debit spread,,,REGIME_REJECT,False,market regime blocks bullish debit spread,,,0.045,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,21,1696880.1536927682,pullback,bull_ema8_pullback,11.0,strong_setup,close_above_ema21;ema8_above_ema21;ema50_above_ema200;ema8_slope_positive;ema21_slope_positive;close_upper_half_range;relative_strength_positive;atr_pullback_controlled,ema21_above_ema50;low_near_ema8;low_near_ema21;recent_2_5_day_pullback;reclaimed_ema8;volume_above_20d_average,1795000.0,1883000.0,1795000.0,1856000.0,1793000.0,1736458.717652527,1696880.1536927682,1754348.900625599,1520302.6481651438,34154.65209927806,15911.984630723018,4149.024464261252,97214.28571428571,0.6931818181818182,0.06440801850618162,-0.14438916220773623,QQQ,"SPY,QQQ",50.0,758.97998046875,758.270525903396,True,710.9500122070312,710.9812261668939,False
000660.KS,credit,pullup,bear_continuation,3,reject,NO,SETUP_REJECT,setup_score_below_near_miss_threshold,close_below_ema21;ema8_below_ema21;ema50_below_ema200;ema8_slope_negative;ema21_slope_negative;high_near_ema8;high_near_ema21;recent_2_5_day_bounce;failed_ema8_reclaim;close_lower_half_range;relative_weakness_negative;volume_above_20d_average,1856000.0,,-1,,,,,,,,,,,,,,,,,0,0,0,0,0.06440801850618162,0.0857326758120861,1.5074048147425594,1.9145318503315543,0.14823989840187513,0.3200739374835827,0.9218354733310076,0.05237838669950739,False,False,"SPY: close=758.98, ema50=758.27, above=true; QQQ: close=710.95, ema50=710.98, above=false",,,setup_score_below_near_miss_threshold,,,SETUP_REJECT,False,setup_score_below_near_miss_threshold,,,0.045,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,21,1696880.1536927682,pullup,bear_continuation,3.0,reject,ema21_below_ema50;atr_bounce_controlled,close_below_ema21;ema8_below_ema21;ema50_below_ema200;ema8_slope_negative;ema21_slope_negative;high_near_ema8;high_near_ema21;recent_2_5_day_bounce;failed_ema8_reclaim;close_lower_half_range;relative_weakness_negative;volume_above_20d_average,1795000.0,1883000.0,1795000.0,1856000.0,1793000.0,1736458.717652527,1696880.1536927682,1754348.900625599,1520302.6481651438,34154.65209927806,15911.984630723018,4149.024464261252,97214.28571428571,0.6931818181818182,-0.06440801850618162,-0.14438916220773623,QQQ,"SPY,QQQ",50.0,758.97998046875,758.270525903396,True,710.9500122070312,710.9812261668939,False
005930.KS,debit,pullback,bull_ema8_pullback,13,strong_setup,NO,REGIME_REJECT,market regime blocks bullish debit spread,ema21_above_ema50;low_near_ema21;reclaimed_ema8;close_upper_half_range;volume_above_20d_average,269500.0,,-1,,,,,,,,,,,,,,,,,0,0,0,0,0.02267194494909796,0.03371985079652571,0.32693891075537845,0.5637783923596108,0.07343724085274528,0.14287875746673484,0.7705918569654681,0.04664723032069971,False,False,"SPY: close=758.98, ema50=758.27, above=true; QQQ: close=710.95, ema50=710.98, above=false",,,market regime blocks bullish debit spread,,,REGIME_REJECT,False,market regime blocks bullish debit spread,,,0.045,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,21,260412.50021033632,pullback,bull_ema8_pullback,13.0,strong_setup,close_above_ema21;ema8_above_ema21;ema50_above_ema200;ema8_slope_positive;ema21_slope_positive;low_near_ema8;recent_2_5_day_pullback;relative_strength_positive;atr_pullback_controlled,ema21_above_ema50;low_near_ema21;reclaimed_ema8;close_upper_half_range;volume_above_20d_average,269500.0,275000.0,267500.0,269500.0,269500.0,263389.9108362181,260412.50021033632,263844.1884114502,242414.49277242762,1745.7397610805638,908.7499789663707,230.8494525938877,12571.42857142857,0.26666666666666666,0.02267194494909796,-0.15587470930159186,QQQ,"SPY,QQQ",50.0,758.97998046875,758.270525903396,True,710.9500122070312,710.9812261668939,False
005930.KS,credit,pullup,bear_ema21_rejection,5,near_miss,NO,SETUP_REJECT,near_miss setup; below option evaluation threshold,close_below_ema21;ema8_below_ema21;ema50_below_ema200;ema8_slope_negative;ema21_slope_negative;high_near_ema8;high_near_ema21;failed_ema8_reclaim;relative_weakness_negative;volume_above_20d_average,269500.0,,-1,,,,,,,,,,,,,,,,,0,0,0,0,0.02267194494909796,0.03371985079652571,0.9235298198462876,1.1603693014505199,0.07343724085274528,0.14287875746673484,0.7705918569654681,0.04664723032069971,False,False,"SPY: close=758.98, ema50=758.27, above=true; QQQ: close=710.95, ema50=710.98, above=false",,,near_miss setup; below option evaluation threshold,,,SETUP_REJECT,False,near_miss setup; below option evaluation threshold,,,0.045,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,21,260412.50021033632,pullup,bear_ema21_rejection,5.0,near_miss,ema21_below_ema50;recent_2_5_day_bounce;close_lower_half_range;atr_bounce_controlled,close_below_ema21;ema8_below_ema21;ema50_below_ema200;ema8_slope_negative;ema21_slope_negative;high_near_ema8;high_near_ema21;failed_ema8_reclaim;relative_weakness_negative;volume_above_20d_average,269500.0,275000.0,267500.0,269500.0,269500.0,263389.9108362181,260412.50021033632,263844.1884114502,242414.49277242762,1745.7397610805638,908.7499789663707,230.8494525938877,12571.42857142857,0.26666666666666666,-0.02267194494909796,-0.15587470930159186,QQQ,"SPY,QQQ",50.0,758.97998046875,758.270525903396,True,710.9500122070312,710.9812261668939,False
6273.T,debit,pullback,bull_continuation,7,watchlist,NO,SETUP_REJECT,watchlist setup; below option evaluation threshold,close_above_ema21;ema8_above_ema21;ema21_above_ema50;ema8_slope_positive;ema21_slope_positive;low_near_ema8;low_near_ema21;reclaimed_ema8,67890.0,,-1,,,,,,,,,,,,,,,,,0,0,0,0,0.0028021555807535305,0.030607599896519993,0.8740068002911856,1.702989316111869,0.018491193098629344,-0.11555380654451619,1.1748134055319772,0.03354165351514004,False,False,"SPY: close=758.98, ema50=758.27, above=true; QQQ: close=710.95, ema50=710.98, above=false",,,watchlist setup; below option evaluation threshold,,,SETUP_REJECT,False,watchlist setup; below option evaluation threshold,,,0.045,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,21,69967.94995697474,pullback,bull_continuation,7.0,watchlist,ema50_above_ema200;recent_2_5_day_pullback;close_upper_half_range;relative_strength_positive;volume_above_20d_average;atr_pullback_controlled,close_above_ema21;ema8_above_ema21;ema21_above_ema50;ema8_slope_positive;ema21_slope_positive;low_near_ema8;low_near_ema21;reclaimed_ema8,66650.0,68790.0,66090.0,67890.0,65650.0,68080.23834237736,69967.94995697474,70885.66918241374,69647.49439449876,-54.35381210781634,-207.79499569747713,-122.27221152708807,2277.1428571428573,0.6666666666666666,-0.0028021555807535305,0.01248134501212228,QQQ,"SPY,QQQ",50.0,758.97998046875,758.270525903396,True,710.9500122070312,710.9812261668939,False
6273.T,credit,pullup,bear_ema8_rejection,17,strong_setup,NO,OPTION_CHAIN_REJECT,no options expirations found,ema50_below_ema200;high_near_ema21;close_lower_half_range,67890.0,,-1,,,,,,,,,,,,,,,,,0,0,0,0,0.0028021555807535305,0.030607599896519993,0.31168956106389584,0.5172929547567876,0.018491193098629344,-0.11555380654451619,1.1748134055319772,0.03354165351514004,False,False,"SPY: close=758.98, ema50=758.27, above=true; QQQ: close=710.95, ema50=710.98, above=false",,,no options expirations found,,,OPTION_CHAIN_REJECT,False,no options expirations found,,,0.045,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,21,69967.94995697474,pullup,bear_ema8_rejection,17.0,strong_setup,close_below_ema21;ema8_below_ema21;ema21_below_ema50;ema8_slope_negative;ema21_slope_negative;high_near_ema8;recent_2_5_day_bounce;failed_ema8_reclaim;relative_weakness_negative;volume_above_20d_average;atr_bounce_controlled,ema50_below_ema200;high_near_ema21;close_lower_half_range,66650.0,68790.0,66090.0,67890.0,65650.0,68080.23834237736,69967.94995697474,70885.66918241374,69647.49439449876,-54.35381210781634,-207.79499569747713,-122.27221152708807,2277.1428571428573,0.6666666666666666,0.0028021555807535305,0.01248134501212228,QQQ,"SPY,QQQ",50.0,758.97998046875,758.270525903396,True,710.9500122070312,710.9812261668939,False
6383.T,debit,pullback,bull_continuation,5,near_miss,NO,SETUP_REJECT,near_miss setup; below option evaluation threshold,close_above_ema21;ema8_above_ema21;ema21_above_ema50;ema50_above_ema200;ema8_slope_positive;ema21_slope_positive;low_near_ema8;low_near_ema21;reclaimed_ema8;volume_above_20d_average,5631.0,,-1,,,,,,,,,,,,,,,,,0,0,0,0,0.009224909500392552,0.03669643278905992,0.8734099087536116,1.8896886825400045,0.010905475159729727,-0.07268914955550132,0.5556841861542023,0.027031483877514778,False,False,"SPY: close=758.98, ema50=758.27, above=true; QQQ: close=710.95, ema50=710.98, above=false",,,near_miss setup; below option evaluation threshold,,,SETUP_REJECT,False,near_miss setup; below option evaluation threshold,,,0.045,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,21,5837.637613035196,pullback,bull_continuation,5.0,near_miss,recent_2_5_day_pullback;close_upper_half_range;relative_strength_positive;atr_pullback_controlled,close_above_ema21;ema8_above_ema21;ema21_above_ema50;ema50_above_ema200;ema8_slope_positive;ema21_slope_positive;low_near_ema8;low_near_ema21;reclaimed_ema8;volume_above_20d_average,5553.0,5654.0,5550.0,5631.0,5545.0,5682.9454653967105,5837.637613035196,6117.034284557049,6163.163560488066,-14.841561541917144,-20.663761303520005,-19.83813406355239,152.21428571428572,0.7788461538461539,-0.009224909500392552,-0.1446620747790358,QQQ,"SPY,QQQ",50.0,758.97998046875,758.270525903396,True,710.9500122070312,710.9812261668939,False
6383.T,credit,pullup,bear_ema8_rejection,15,strong_setup,NO,OPTION_CHAIN_REJECT,no options expirations found,high_near_ema21;failed_ema8_reclaim;close_lower_half_range;volume_above_20d_average,5631.0,,-1,,,,,,,,,,,,,,,,,0,0,0,0,0.009224909500392552,0.03669643278905992,0.1901626070173376,1.2064413808037304,0.010905475159729727,-0.07268914955550132,0.5556841861542023,0.027031483877514778,False,False,"SPY: close=758.98, ema50=758.27, above=true; QQQ: close=710.95, ema50=710.98, above=false",,,no options expirations found,,,OPTION_CHAIN_REJECT,False,no options expirations found,,,0.045,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,21,5837.637613035196,pullup,bear_ema8_rejection,15.0,strong_setup,close_below_ema21;ema8_below_ema21;ema21_below_ema50;ema50_below_ema200;ema8_slope_negative;ema21_slope_negative;high_near_ema8;recent_2_5_day_bounce;relative_weakness_negative;atr_bounce_controlled,high_near_ema21;failed_ema8_reclaim;close_lower_half_range;volume_above_20d_average,5553.0,5654.0,5550.0,5631.0,5545.0,5682.9454653967105,5837.637613035196,6117.034284557049,6163.163560488066,-14.841561541917144,-20.663761303520005,-19.83813406355239,152.21428571428572,0.7788461538461539,0.009224909500392552,-0.1446620747790358,QQQ,"SPY,QQQ",50.0,758.97998046875,758.270525903396,True,710.9500122070312,710.9812261668939,False
6506.T,debit,pullback,bull_continuation,4,near_miss,NO,SETUP_REJECT,near_miss setup; below option evaluation threshold,close_above_ema21;ema8_above_ema21;ema21_above_ema50;ema50_above_ema200;ema8_slope_positive;ema21_slope_positive;low_near_ema8;low_near_ema21;reclaimed_ema8;close_upper_half_range;volume_above_20d_average,4503.0,,-1,,,,,,,,,,,,,,,,,0,0,0,0,0.022220580359835627,0.07458892322281598,0.9043025268825815,2.5314119752650397,0.003845920699755201,-0.15674963961096888,0.7480726466647493,0.03218489261127502,False,False,"SPY: close=758.98, ema50=758.27, above=true; QQQ: close=710.95, ema50=710.98, above=false",,,near_miss setup; below option evaluation threshold,,,SETUP_REJECT,False,near_miss setup; below option evaluation threshold,,,0.045,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,21,4838.87392127234,pullback,bull_continuation,4.0,near_miss,recent_2_5_day_pullback;relative_strength_positive;atr_pullback_controlled,close_above_ema21;ema8_above_ema21;ema21_above_ema50;ema50_above_ema200;ema8_slope_positive;ema21_slope_positive;low_near_ema8;low_near_ema21;reclaimed_ema8;close_upper_half_range;volume_above_20d_average,4494.0,4577.0,4472.0,4503.0,4456.0,4603.05927336034,4838.87392127234,5259.52571763915,5316.371006259806,-28.58836381723995,-33.587392127234125,-30.878600719965107,144.92857142857142,0.29523809523809524,-0.022220580359835627,-0.27894386370458646,QQQ,"SPY,QQQ",50.0,758.97998046875,758.270525903396,True,710.9500122070312,710.9812261668939,False
6506.T,credit,pullup,bear_ema8_rejection,16,strong_setup,NO,OPTION_CHAIN_REJECT,no options expirations found,high_near_ema21;failed_ema8_reclaim;volume_above_20d_average,4503.0,,-1,,,,,,,,,,,,,,,,,0,0,0,0,0.022220580359835627,0.07458892322281598,0.17980770184561737,1.8069171502280754,0.003845920699755201,-0.15674963961096888,0.7480726466647493,0.03218489261127502,False,False,"SPY: close=758.98, ema50=758.27, above=true; QQQ: close=710.95, ema50=710.98, above=false",,,no options expirations found,,,OPTION_CHAIN_REJECT,False,no options expirations found,,,0.045,,,,,,,,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,2.0,21,4838.87392127234,pullup,bear_ema8_rejection,16.0,strong_setup,close_below_ema21;ema8_below_ema21;ema21_below_ema50;ema50_below_ema200;ema8_slope_negative;ema21_slope_negative;high_near_ema8;recent_2_5_day_bounce;close_lower_half_range;relative_weakness_negative;atr_bounce_controlled,high_near_ema21;failed_ema8_reclaim;volume_above_20d_average,4494.0,4577.0,4472.0,4503.0,4456.0,4603.05927336034,4838.87392127234,5259.52571763915,5316.371006259806,-28.58836381723995,-33.587392127234125,-30.878600719965107,144.92857142857142,0.29523809523809524,0.022220580359835627,-0.27894386370458646,QQQ,"SPY,QQQ",50.0,758.97998046875,758.270525903396,True,710.9500122070312,710.9812261668939,False
